molecule_chembl_id,canonical_smiles,standard_value
CHEMBL559770,Nc1ccccc1C(=O)OCC(=O)Nc1cc(Cl)ccc1Cl,58000.0
CHEMBL562106,CCC(NC(=O)COC(=O)c1cccnc1N)c1ccc(Br)cc1,84000.0
CHEMBL550694,Nc1ncccc1C(=O)OCC(=O)NC1CCCCCC1,87000.0
CHEMBL554709,NC(=O)c1ccsc1NC(=O)COC(=O)c1cc(Br)ccc1N,90000.0
CHEMBL549615,Nc1ncccc1C(=O)OCC(=O)Nc1ccccc1OC(F)F,126000.0
CHEMBL563022,Nc1ncccc1C(=O)OCC(=O)Nc1ccc2c(c1)OCCO2,182000.0
CHEMBL570547,Cc1cccc(C(=O)OCC(=O)Nc2cc(Cl)ccc2Cl)c1,200000.0
CHEMBL563474,O=C(COC(=O)c1ccccn1)Nc1cc(Cl)ccc1Cl,200000.0
CHEMBL562581,Nc1ccccc1-c1nnc(C(=O)Nc2nc(-c3ccc(Cl)cc3)cs2)o1,3000.0
CHEMBL549616,Nc1ccccc1-c1nnc(C(=O)NCc2csc(-c3cccs3)n2)o1,2000.0
CHEMBL563023,Nc1ccccc1-c1nnc(C(=O)Nc2nnc(-c3ccc(Cl)cc3)s2)o1,4000.0
CHEMBL550771,Nc1ccccc1-c1nnc(C(=O)NCc2cccc3nsnc23)o1,6000.0
CHEMBL550025,Nc1ccccc1-c1nnc(C(=O)NCc2ccc3c(c2)OCO3)o1,6000.0
CHEMBL560962,Cc1nn(-c2ccccc2)nc1CNC(=O)c1nnc(-c2ccccc2N)o1,7000.0
CHEMBL557189,Nc1ccccc1-c1nnc(C(=O)NCc2nc3ccccc3[nH]2)o1,17000.0
CHEMBL549676,Nc1ccccc1-c1nnc(C(=O)NCc2ccc(C(F)(F)F)c(F)c2)o1,10000.0
CHEMBL550773,Nc1ccccc1-c1nnc(C(=O)NCc2ccc(Cn3cccn3)cc2)o1,8000.0
CHEMBL560840,Nc1ccccc1-c1nnc(C(=O)NCc2ccnc(N3CCSCC3)c2)o1,23000.0
CHEMBL563328,Nc1ccccc1-c1nnc(C(=O)NCc2ccc(Oc3ccccc3)cc2)o1,6000.0
CHEMBL554300,Nc1ccccc1-c1nnc(C(=O)Nc2ccc3[nH]ncc3c2)o1,41000.0
CHEMBL561361,Cc1ccc(CNC(=O)c2nnc(-c3ccccc3N)o2)o1,14000.0
CHEMBL561239,Nc1ccccc1-c1nnc(C(=O)NC2CCc3ccccc32)o1,17000.0
CHEMBL550960,CC(NC(=O)c1nnc(-c2ccccc2N)o1)C12CC3CC(CC(C3)C1)C2,18000.0
CHEMBL562224,CCN(CC)c1ccc(NC(=O)c2nnc(-c3ccccc3N)o2)cc1,36000.0
CHEMBL554736,Nc1ccccc1-c1nnc(C(=O)NCc2ccccc2OC2CCOCC2)o1,42000.0
CHEMBL550965,Nc1ccccc1-c1nnc(C(=O)NCc2ccccc2N2CCOCC2)o1,38000.0
CHEMBL550633,Nc1ccccc1-c1nnc(C(=O)N[C@@H]2c3ccccc3C[C@@H]2O)o1,32000.0
CHEMBL560503,Nc1ccccc1-c1nnc(C(=O)NCc2cccc(N3CCOCC3)c2)o1,33000.0
CHEMBL550634,CC1C2CCC(C)(C2)C1NC(=O)c1nnc(-c2ccccc2N)o1,36000.0
CHEMBL565191,Nc1ccccc1-c1nnc(C(=O)NCc2ccnc(N3CCOCC3)c2)o1,83000.0
CHEMBL550836,Nc1ccccc1-c1nnc(C(=O)NCc2c(N)cccc2F)o1,52000.0
